CH_4_s,CH_4_mv,
-0.000138520,-254.000,
-0.000138512,-254.000,
-0.000138504,-254.000,
-0.000138496,-254.000,
-0.000138488,-254.000,
-0.000138480,-254.000,
-0.000138472,-254.000,
-0.000138464,-254.000,
-0.000138456,-254.000,
-0.000138448,-254.000,
-0.000138440,-254.000,
-0.000138432,-254.000,
-0.000138424,-254.000,
-0.000138416,-254.000,
-0.000138408,-254.000,
-0.000138400,-254.000,
-0.000138392,-254.000,
-0.000138384,-254.000,
-0.000138376,-254.000,
-0.000138368,-254.000,
-0.000138360,-254.000,
-0.000138352,-254.000,
-0.000138344,-254.000,
-0.000138336,-254.000,
-0.000138328,-254.000,
-0.000138320,-254.000,
-0.000138312,-254.000,
-0.000138304,-254.000,
-0.000138296,-254.000,
-0.000138288,-254.000,
-0.000138280,-254.000,
-0.000138272,-254.000,
-0.000138264,-254.000,
-0.000138256,-254.000,
-0.000138248,-254.000,
-0.000138240,-254.000,
-0.000138232,-254.000,
-0.000138224,-254.000,
-0.000138216,-254.000,
-0.000138208,-254.000,
-0.000138200,-254.000,
-0.000138192,-254.000,
-0.000138184,-254.000,
-0.000138176,-254.000,
-0.000138168,-254.000,
-0.000138160,-254.000,
-0.000138152,-254.000,
-0.000138144,-254.000,
-0.000138136,-254.000,
-0.000138128,-254.000,
-0.000138120,-254.000,
-0.000138112,-254.000,
-0.000138104,-254.000,
-0.000138096,-254.000,
-0.000138088,-254.000,
-0.000138080,-254.000,
-0.000138072,-254.000,
-0.000138064,-254.000,
-0.000138056,-254.000,
-0.000138048,-254.000,
-0.000138040,-254.000,
-0.000138032,-254.000,
-0.000138024,-254.000,
-0.000138016,-254.000,
-0.000138008,-254.000,
-0.000138000,-254.000,
-0.000137992,-254.000,
-0.000137984,-254.000,
-0.000137976,-254.000,
-0.000137968,-254.000,
-0.000137960,-254.000,
-0.000137952,-254.000,
-0.000137944,-254.000,
-0.000137936,-254.000,
-0.000137928,-254.000,
-0.000137920,-254.000,
-0.000137912,-254.000,
-0.000137904,-254.000,
-0.000137896,-254.000,
-0.000137888,-254.000,
-0.000137880,-254.000,
-0.000137872,-254.000,
-0.000137864,-254.000,
-0.000137856,-254.000,
-0.000137848,-254.000,
-0.000137840,-254.000,
-0.000137832,-254.000,
-0.000137824,-254.000,
-0.000137816,-254.000,
-0.000137808,-254.000,
-0.000137800,-254.000,
-0.000137792,-254.000,
-0.000137784,-254.000,
-0.000137776,-254.000,
-0.000137768,-254.000,
-0.000137760,-254.000,
-0.000137752,-254.000,
-0.000137744,-254.000,
-0.000137736,-254.000,
-0.000137728,-254.000,
-0.000137720,-254.000,
-0.000137712,-254.000,
-0.000137704,-254.000,
-0.000137696,-254.000,
-0.000137688,-254.000,
-0.000137680,-254.000,
-0.000137672,-254.000,
-0.000137664,-254.000,
-0.000137656,-254.000,
-0.000137648,-254.000,
-0.000137640,-254.000,
-0.000137632,-254.000,
-0.000137624,-254.000,
-0.000137616,-254.000,
-0.000137608,-254.000,
-0.000137600,-254.000,
-0.000137592,-254.000,
-0.000137584,-254.000,
-0.000137576,-254.000,
-0.000137568,-254.000,
-0.000137560,-254.000,
-0.000137552,-254.000,
-0.000137544,-254.000,
-0.000137536,-254.000,
-0.000137528,-254.000,
-0.000137520,-254.000,
-0.000137512,-254.000,
-0.000137504,-254.000,
-0.000137496,-254.000,
-0.000137488,-254.000,
-0.000137480,-254.000,
-0.000137472,-254.000,
-0.000137464,-254.000,
-0.000137456,-254.000,
-0.000137448,-254.000,
-0.000137440,-254.000,
-0.000137432,-254.000,
-0.000137424,-254.000,
-0.000137416,-254.000,
-0.000137408,-254.000,
-0.000137400,-254.000,
-0.000137392,-254.000,
-0.000137384,-254.000,
-0.000137376,-254.000,
-0.000137368,-254.000,
-0.000137360,-254.000,
-0.000137352,-254.000,
-0.000137344,-254.000,
-0.000137336,-254.000,
-0.000137328,-254.000,
-0.000137320,-254.000,
-0.000137312,-254.000,
-0.000137304,-254.000,
-0.000137296,-254.000,
-0.000137288,-254.000,
-0.000137280,-254.000,
-0.000137272,-254.000,
-0.000137264,-254.000,
-0.000137256,-254.000,
-0.000137248,-254.000,
-0.000137240,-254.000,
-0.000137232,-254.000,
-0.000137224,-254.000,
-0.000137216,-254.000,
-0.000137208,-254.000,
-0.000137200,-254.000,
-0.000137192,-254.000,
-0.000137184,-254.000,
-0.000137176,-254.000,
-0.000137168,-254.000,
-0.000137160,-254.000,
-0.000137152,-254.000,
-0.000137144,-254.000,
-0.000137136,-254.000,
-0.000137128,-254.000,
-0.000137120,-254.000,
-0.000137112,-254.000,
-0.000137104,-254.000,
-0.000137096,-254.000,
-0.000137088,-254.000,
-0.000137080,-254.000,
-0.000137072,-254.000,
-0.000137064,-254.000,
-0.000137056,-254.000,
-0.000137048,-254.000,
-0.000137040,-254.000,
-0.000137032,-254.000,
-0.000137024,-254.000,
-0.000137016,-254.000,
-0.000137008,-254.000,
-0.000137000,-254.000,
-0.000136992,-254.000,
-0.000136984,-254.000,
-0.000136976,-254.000,
-0.000136968,-254.000,
-0.000136960,-254.000,
-0.000136952,-254.000,
