Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
C9,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"142,7322mm","21,4395mm",270,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C20,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"146,9402mm","21,4395mm",270,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C31,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"138,5242mm","21,4395mm",90,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C39,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"121,6842mm","11,6308mm",90,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C6,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"117,4944mm","11,7340mm",270,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C45,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"121,6842mm","16,3308mm",90,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C35,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"117,4882mm","16,3721mm",270,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C28,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"125,9042mm","16,3721mm",270,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C24,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"134,3202mm","16,3721mm",90,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C15,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"130,1122mm","16,3721mm",270,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C8,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"142,7362mm","35,2207mm",270,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C44,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"138,5282mm","35,2207mm",270,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C32,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"146,9442mm","35,2207mm",90,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C10,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"121,6962mm","30,5086mm",270,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C22,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"117,4882mm","30,5086mm",270,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C29,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"121,6962mm","35,2207mm",90,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C14,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"117,4882mm","35,2207mm",90,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C16,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"125,9042mm","35,2207mm",90,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C36,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"134,3202mm","35,2207mm",90,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C11,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"129,9842mm","35,0308mm",270,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C27,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"125,9042mm","30,5086mm",270,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C5,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"121,6962mm","25,7964mm",270,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
